
  [ML-GATE] Loaded 34 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  EU50.r       |   54 trades | WR  64.8% | PF  2.31 | PnL $  210.03 | DD   8.4% | avgR +0.51 | peak 1.4R → give 0.9R | eq $1216  [costs gross=$   +212 comm=$  1.89 swap=$  -0.32]
  HK50.r       |  120 trades | WR  56.7% | PF  1.25 | PnL $  103.75 | DD   7.4% | avgR +0.12 | peak 1.0R → give 0.8R | eq $1104  [costs gross=$   +154 comm=$ 41.38 swap=$  -9.25]
  CHINA50.r    |   57 trades | WR  45.6% | PF  0.72 | PnL $  -59.75 | DD   8.3% | avgR -0.02 | peak 0.9R → give 0.8R | eq $943  [costs gross=$     -2 comm=$ 47.66 swap=$  -9.76]
  NETH25.r     |   21 trades | WR  38.1% | PF  0.12 | PnL $  -81.88 | DD   8.2% | avgR -0.54 | peak 0.6R → give 1.0R | eq $920  [costs gross=$    -80 comm=$  2.00 swap=$  -0.07]
  SWI20.r      |  105 trades | WR  72.4% | PF  3.01 | PnL $  409.99 | DD   3.0% | avgR +0.34 | peak 1.1R → give 0.7R | eq $1410  [costs gross=$   +411 comm=$  0.57 swap=$  -0.57]
  LTCUSD       |   16 trades | WR  12.5% | PF  0.03 | PnL $  -82.79 | DD   8.3% | avgR -0.74 | peak 0.4R → give 1.1R | eq $920  [costs gross=$    -79 comm=$  3.01 swap=$  -0.37]
  SOLUSD       |   64 trades | WR  60.9% | PF  0.97 | PnL $   -5.72 | DD   8.1% | avgR +0.04 | peak 1.0R → give 0.9R | eq $996  [costs gross=$     +6 comm=$ 10.32 swap=$  -1.00]
  XRPUSD       |   95 trades | WR  52.6% | PF  0.99 | PnL $   -1.98 | DD   8.2% | avgR +0.01 | peak 1.0R → give 0.9R | eq $1000  [costs gross=$    +12 comm=$ 12.68 swap=$  -1.07]
  ADAUSD       |   17 trades | WR  17.6% | PF  0.10 | PnL $  -80.30 | DD   8.0% | avgR -0.66 | peak 0.7R → give 1.2R | eq $920  [costs gross=$    -72 comm=$  7.54 swap=$  -0.36]
  DOGUSD       |   12 trades | WR   0.0% | PF  0.00 | PnL $  -88.69 | DD   8.9% | avgR -0.85 | peak 0.3R → give 0.9R | eq $920  [costs gross=$    -71 comm=$ 17.39 swap=$  -0.65]
  USOUSD       |   20 trades | WR  30.0% | PF  0.54 | PnL $  -55.61 | DD   8.3% | avgR -0.38 | peak 0.7R → give 1.0R | eq $947  [costs gross=$    -52 comm=$  2.88 swap=$  -0.24]
  CL-OIL       |   19 trades | WR  31.6% | PF  0.33 | PnL $  -82.38 | DD   9.0% | avgR -0.57 | peak 0.6R → give 0.9R | eq $927  [costs gross=$    -79 comm=$  2.77 swap=$  -0.27]
  NG-Cr        |   22 trades | WR  40.9% | PF  0.33 | PnL $  -59.70 | DD   8.1% | avgR -0.32 | peak 0.8R → give 0.9R | eq $941  [costs gross=$    -43 comm=$ 14.67 swap=$  -1.97]
  GAS-Cr       |  104 trades | WR  57.7% | PF  1.80 | PnL $  281.78 | DD   8.2% | avgR +0.28 | peak 1.3R → give 1.0R | eq $1284  [costs gross=$   +344 comm=$ 55.91 swap=$  -5.89]

  TOTAL: 6279 trades | PnL $46289.78 | commission $921.67 | swap $-179.00
