
  [ML-GATE] Loaded 36 meta-label model(s); applies live veto threshold

======================================================================
  DRAGON V5 BACKTEST
  Symbols: ['EURUSD', 'GBPUSD', 'USDJPY', 'USDCAD', 'USDCHF', 'AUDUSD', 'NZDUSD', 'EURJPY', 'GBPJPY', 'AUDJPY', 'NZDJPY', 'CADJPY', 'CHFJPY', 'EURGBP', 'EURAUD', 'EURCHF', 'EURCAD', 'EURNZD', 'GBPAUD', 'GBPCHF', 'XAUUSD', 'XAGUSD', 'XPDUSD.r', 'XPTUSD.r', 'NAS100.r', 'SP500.r', 'GER40.r', 'JPN225ft', 'UK100.r', 'US2000.r', 'SPI200.r', 'BTCUSD', 'ETHUSD', 'BCHUSD', 'UKOUSD', 'COPPER-Cr', 'GBPCAD', 'GBPNZD', 'AUDCAD', 'AUDCHF', 'AUDNZD', 'NZDCAD', 'NZDCHF', 'CADCHF', 'FRA40.r', 'DJ30.r', 'EU50.r', 'HK50.r', 'CHINA50.r', 'NETH25.r', 'SWI20.r', 'LTCUSD', 'SOLUSD', 'XRPUSD', 'ADAUSD', 'DOGUSD', 'USOUSD', 'CL-OIL', 'NG-Cr', 'GAS-Cr']
  Period: 180 days
  Entry: Raw H1 score → 0-100 quality → regime threshold
  Trail: V5 tight locks + profit ratchet
======================================================================

  Cost overlays: slippage + commission + swap

  CHINA50.r    |   59 trades | WR  50.8% | PF  1.01 | PnL $    3.03 | DD   8.9% | avgR +0.26 | peak 1.4R → give 1.2R | eq $1013  [costs gross=$    +78 comm=$ 60.42 swap=$ -14.46]
  NETH25.r     |   10 trades | WR  20.0% | PF  0.02 | PnL $  -83.47 | DD   8.3% | avgR -0.99 | peak 0.5R → give 1.7R | eq $920  [costs gross=$    -82 comm=$  1.02 swap=$  -0.12]
  SWI20.r      |  102 trades | WR  79.4% | PF  4.34 | PnL $  939.05 | DD   3.9% | avgR +0.70 | peak 1.8R → give 1.1R | eq $1939  [costs gross=$   +941 comm=$  0.73 swap=$  -1.41]
  LTCUSD       |   21 trades | WR  28.6% | PF  0.35 | PnL $  -81.56 | DD   8.2% | avgR -0.46 | peak 1.0R → give 1.4R | eq $920  [costs gross=$    -76 comm=$  4.61 swap=$  -0.62]
  SOLUSD       |   52 trades | WR  63.5% | PF  0.84 | PnL $  -29.65 | DD   8.6% | avgR -0.01 | peak 1.3R → give 1.4R | eq $977  [costs gross=$    -19 comm=$  8.58 swap=$  -1.58]
  XRPUSD       |   85 trades | WR  58.8% | PF  1.11 | PnL $   30.97 | DD   8.1% | avgR +0.10 | peak 1.4R → give 1.3R | eq $1032  [costs gross=$    +46 comm=$ 13.77 swap=$  -1.74]
  ADAUSD       |   18 trades | WR  22.2% | PF  0.27 | PnL $  -81.27 | DD   8.1% | avgR -0.70 | peak 0.8R → give 1.6R | eq $920  [costs gross=$    -73 comm=$  7.12 swap=$  -1.25]
  DOGUSD       |   14 trades | WR  21.4% | PF  0.10 | PnL $  -88.68 | DD   8.9% | avgR -0.69 | peak 0.8R → give 1.6R | eq $920  [costs gross=$    -67 comm=$ 19.79 swap=$  -2.33]
  USOUSD       |   35 trades | WR  45.7% | PF  0.85 | PnL $  -26.51 | DD   8.7% | avgR -0.01 | peak 1.3R → give 1.4R | eq $981  [costs gross=$    -21 comm=$  4.68 swap=$  -0.63]
  CL-OIL       |   23 trades | WR  26.1% | PF  0.47 | PnL $  -66.75 | DD   8.4% | avgR -0.53 | peak 0.9R → give 1.6R | eq $937  [costs gross=$    -64 comm=$  2.67 swap=$  -0.25]
  NG-Cr        |  170 trades | WR  69.4% | PF  2.14 | PnL $  542.32 | DD   6.9% | avgR +0.56 | peak 1.8R → give 1.2R | eq $1542  [costs gross=$   +681 comm=$104.02 swap=$ -34.53]
  GAS-Cr       |   61 trades | WR  60.7% | PF  2.10 | PnL $  353.30 | DD   8.6% | avgR +0.55 | peak 2.0R → give 1.5R | eq $1363  [costs gross=$   +407 comm=$ 44.34 swap=$  -8.94]

  TOTAL: 4507 trades | PnL $27141.59 | commission $757.82 | swap $-298.93
